operation	global_time	length_of_queue	logical_clock	clockrate: 6
|internal event	|	time.time	|	0		|	270
|send			|	time.time	|	0		|	271
|send			|	time.time	|	0		|	272
|internal event	|	time.time	|	0		|	273
|send			|	time.time	|	0		|	274
|internal event	|	time.time	|	0		|	275
|internal event	|	time.time	|	0		|	276
|receive		|	time.time	|	2		|	276
|receive		|	time.time	|	1		|	277
|send			|	time.time	|	0		|	279
|send			|	time.time	|	0		|	280
|send			|	time.time	|	0		|	281
|internal event	|	time.time	|	0		|	282
|receive		|	time.time	|	1		|	282
|internal event	|	time.time	|	0		|	284
|send			|	time.time	|	0		|	285
|send			|	time.time	|	0		|	286
|send			|	time.time	|	0		|	287
|internal event	|	time.time	|	0		|	288
|receive		|	time.time	|	1		|	288
|internal event	|	time.time	|	0		|	290
|internal event	|	time.time	|	0		|	291
|send			|	time.time	|	0		|	292
|send			|	time.time	|	0		|	293
|send			|	time.time	|	0		|	294
|receive		|	time.time	|	1		|	294
|internal event	|	time.time	|	0		|	296
|send			|	time.time	|	0		|	297
|internal event	|	time.time	|	0		|	298
|internal event	|	time.time	|	0		|	299
|send			|	time.time	|	0		|	300
|receive		|	time.time	|	1		|	300
|internal event	|	time.time	|	0		|	302
|send			|	time.time	|	0		|	303
|send			|	time.time	|	0		|	304
|send			|	time.time	|	0		|	305
|internal event	|	time.time	|	0		|	306
|receive		|	time.time	|	3		|	306
|receive		|	time.time	|	2		|	307
|receive		|	time.time	|	1		|	308
|send			|	time.time	|	0		|	310
|internal event	|	time.time	|	0		|	311
|internal event	|	time.time	|	0		|	312
|internal event	|	time.time	|	0		|	313
|internal event	|	time.time	|	0		|	314
|send			|	time.time	|	0		|	315
|internal event	|	time.time	|	0		|	316
|send			|	time.time	|	0		|	317
|send			|	time.time	|	0		|	318
|receive		|	time.time	|	2		|	318
|receive		|	time.time	|	1		|	319
|internal event	|	time.time	|	0		|	321
|send			|	time.time	|	0		|	322
|send			|	time.time	|	0		|	323
|send			|	time.time	|	0		|	324
|internal event	|	time.time	|	0		|	325
|internal event	|	time.time	|	0		|	326
|send			|	time.time	|	0		|	327
|send			|	time.time	|	0		|	328
|send			|	time.time	|	0		|	329
|internal event	|	time.time	|	0		|	330
|receive		|	time.time	|	1		|	330
|internal event	|	time.time	|	0		|	332
|internal event	|	time.time	|	0		|	333
|internal event	|	time.time	|	0		|	334
|send			|	time.time	|	0		|	335
|send			|	time.time	|	0		|	336
|receive		|	time.time	|	2		|	336
|receive		|	time.time	|	1		|	337
|internal event	|	time.time	|	0		|	339
|send			|	time.time	|	0		|	340
|internal event	|	time.time	|	0		|	341
|internal event	|	time.time	|	0		|	342
|receive		|	time.time	|	2		|	342
|receive		|	time.time	|	1		|	343
|send			|	time.time	|	0		|	345
|send			|	time.time	|	0		|	346
|send			|	time.time	|	0		|	347
|send			|	time.time	|	0		|	348
|receive		|	time.time	|	1		|	348
|internal event	|	time.time	|	0		|	350
|send			|	time.time	|	0		|	351
|internal event	|	time.time	|	0		|	352
|internal event	|	time.time	|	0		|	353
|internal event	|	time.time	|	0		|	354
|send			|	time.time	|	0		|	355
|internal event	|	time.time	|	0		|	356
|send			|	time.time	|	0		|	357
|send			|	time.time	|	0		|	358
